id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_4_ans,Gaz_naturel_GJ_moyenne_4_ans,Mazout_GJ_moyenne_4_ans,Conso_totale_GJ,GES_m2
191,5375 1Re Avenue,1965.0,3760.0,125.74,1190.5488,2507.0119999999997,0.0,3697.5607999999997,0.033441489361702124
2022,1501 Rue Bercy,2001.0,2888.0,143.56333333333333,2208.0733333333333,2824.154666666667,0.0,5032.228,0.049710295475530936
1,275 Rue Notre-Dame E,1878.0,67288.07,628.3866666666667,22376.145879999996,1096.8713333333333,0.0,23473.01721333333,0.009338753016198364
212,4040 Avenue Du Parc,1930.0,2886.0,121.23,2275.0128,2407.718,0.0,4682.730799999999,0.042006237006237006
481,3175 Rue De Rouen,1971.0,3405.0,120.65,3735.7092,2383.968,0.0,6119.6772,0.03543318649045522
101,1875 Avenue Morgan,1916.0,2457.0,116.44,1102.0392,2321.686,0.0,3423.7252,0.04739112739112739
601,1696 Rue Montcalm,1981.0,4162.0,89.85333333333334,4508.258959999999,1750.8086666666668,0.0,6259.067626666666,0.021588979657216085
77,5 Avenue Laurier O,1905.0,2192.0,94.533060846,374.06582,1867.004,0.0,2241.0698199999997,0.043126396371350365
435,2150 Rue Dickson,1958.0,2208.0,107.31,900.5364,2140.578,0.0,3041.1144,0.04860054347826087
285,1210 Rue Sherbrooke E,1917.0,7412.01,105.163913508,2743.8466500000004,2061.6409999999996,0.0,4805.48765,0.014188312415660528
978,10300 Rue Lajeunesse,1948.0,6348.01,87.23394271999999,2152.2542999999996,1712.415,0.0,3864.6692999999996,0.013741935302559382
4201,2349 Rue De Rouen,1906.0,3025.0,105.23,424.4904,2102.92,0.0,2527.4104,0.03478677685950413
747,75 Rue Du Square-Sir-George-Étienne-Cartier (,1958.0,5591.0,104.44,742.6224,2084.49,0.0,2827.1124,0.01868002146306564
317,6040 Boulevard Monk,1960.0,3226.0,91.86674507,1509.49096,1807.313,0.0,3316.80396,0.028476982352758834
12,155 Rue Notre-Dame E,1857.0,14218.0,102.14,6699.312,0.0,0.0,6699.312,0.00718385145590097
755,5319 Avenue Notre-Dame-De-Grâce,1955.0,2819.0,91.11333333333334,308.45884,1801.526,0.0,2109.98484,0.03232115407354854
280,523 Place Saint-Henri,1930.0,3210.0,88.35247925,1236.10263,1739.0615,0.0,2975.16413,0.02752413683800623
1058,21253 Boulevard Gouin O,1961.0,2190.0,47.875,525.1707,0.0,1341.5742,1866.7449000000001,0.021860730593607307
2552,6960 Avenue De Darlington,1997.0,2228.0,93.93,1297.4616,1869.448,0.0,3166.9096,0.042158886894075404
3725,944 Rue Saint-Paul O,1966.0,2742.0,82.82000000000001,2087.35512,1625.027,0.0,3712.38212,0.030204230488694386
455,8000 Rue De Normanville,1958.0,3415.0,90.86,1645.4196,1805.076,0.0,3450.4956,0.02660614934114202
3070,1300 Avenue Dollard (Lsl),1976.0,3931.0,89.02,3322.8612,1754.232,0.0,5077.093199999999,0.02264563724243195
762,14201 Rue Sherbrooke E,1972.0,2118.0,77.580800256,996.84436,1527.892,0.0,2524.73636,0.03662927301983003
64,8650 Avenue Querbes,1979.0,3772.0,129.0533333333333,2828.298546666667,2529.8446666666664,0.0,5358.143213333333,0.03421350300459526
795,5350 Rue Lafond,1965.0,4528.0,77.531188966,1994.83289,1520.8829999999998,0.0,3515.7158899999995,0.017122612404151943
