id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_5_ans,Gaz_naturel_GJ_moyenne_5_ans,Mazout_GJ_moyenne_5_ans,Conso_totale_GJ,GES_m2
4201,2349 Rue Rouen,1906,,95.57,430.3,1878.8,,2309.1,
4201,2349 Rue de Rouen,1906,3025.0,105.23,,,,0.0,0.03478677685950413
849,2385 boulevard Thimens,2017,13489.0,295.382400554,11934.470346666667,5491.3,,17425.770346666668,0.02189802065045593
353,2450 Rue Workman,1904,2045.0,21.400000000000002,1090.19244,370.79999999999995,,1460.99244,0.010464547677261614
1303,251 Avenue des Pins O,1858,10153.0,0.94,,,,0.0,9.2583472865163e-05
8662,2550 Rue Ontario E,1992,,98.825,3376.8786200000004,1925.15,,5302.028620000001,
3665,2580 Boulevard Saint-Joseph,1964,9348.0,270.59888758200003,13283.854933333334,5254.066666666667,,18537.9216,0.028947249420410787
3235,260 rue Elgar,0,2617.0,3.7566666666666664,2588.066,83.7,,2671.7659999999996,0.0014354859253598268
2390,2633 Rue Ontario E,1995,7472.0,278.130036038,3712.8640666666665,5358.533333333334,,9071.3974,0.03722297056183084
850,2727 boul. Thimens,2013,5800.0,1.4087329979999998,4819.343933333334,,,4819.343933333334,0.00024288499965517238
1,275 Rue Notre-Dame E,1878,22814.0,628.3866666666667,28547.638619999998,1645.25,,30192.888619999998,0.027543905788843106
450,2800 Rue Viau,1959,25599.0,164.46,,,,0.0,0.006424469705847885
3686,2805 Boul. Thimens,1986,,1.1,3903.8959800000002,,,3903.8959800000002,
3686,2805 Boulevard Thimens (SLR),1986,4195.0,1.81,,,,0.0,0.000431466030989273
3206,2901 Boul. Saint-Joseph,1862,,44.769999999999996,894.9920999999999,875.8,,1770.7921,
514,2980 Rue Viau,1958,18789.0,445.35173846,3797.214946666667,4223.3,,8020.514946666667,0.02370279091276811
3029,3100 rue Saint-Antoine,0,10951.0,0.5113762159999999,1813.8161466666668,,,1813.8161466666668,4.669675974796821e-05
183,3131 Boulevard Rosemont,1949,4229.0,303.15,,,,0.0,0.07168361314731614
3330,3175  rue Remembrance,1961,,49.39,2449.7,963.5,,3413.2,
3330,3175 Chemin Remembrance,1961,2567.0,50.21,,,,0.0,0.01955979742890534
481,3175 Rue Rouen,1971,,115.38499999999999,4017.15238,2247.5,,6264.6523799999995,
481,3175 Rue de Rouen,1971,3405.0,120.65,,,,0.0,0.03543318649045522
5,330 Rue Saint-Paul E,1847,,298.26300128266666,8743.8,5823.733333333333,,14567.533333333333,
260,3400 Boul. Trinitaires,1968,,0.435,1577.7345,,,1577.7345,
260,3400 Boulevard des Trinitaires,1968,4052.0,35.04,,,,0.0,0.008647581441263574
560,3430 Rue Bellechasse,1976,,107.46,15320.6,2062.8,,17383.4,
560,3430 Rue de Bellechasse,1976,18880.0,139.4,,,,0.0,0.007383474576271187
196,3440 Rue Jarry E,1968,8780.0,456.03,,,,0.0,0.05193963553530751
2406,3444 Boul. Saint-Joseph E,1965,,0.41,2423.8,,,2423.8,
2406,3444 Rue Saint-Joseph E,0,6523.0,356.49,,,,0.0,0.05465123409474169
2452,350 Pl. Royale,1992,,173.61,8953.19892,3380.3,,12333.498920000002,
2359,3535 36e Avenue,1972,3884.0,220.48,,,,0.0,0.05676622039134912
2359,3535 Av. 36e,1972,,82.36500000000001,1676.93108,1611.0500000000002,,3287.9810800000005,
177,3616 Rue Hochelaga,1931,2923.0,32.63333333333333,1678.3118,713.4,,2391.7118,0.011164328885847874
2453,3680 Rue Jeanne-Mance,1910,4847.0,38.947266344,2891.47288,762.3333333333334,,3653.8062133333333,0.008035334504642047
3088,3700 rue Fleury E,0,3822.0,148.247347714,4560.426186666667,3049.4666666666667,,7609.892853333333,0.03878789840763998
151,3755 Rue Botrel,1912,3225.0,15.086666666666666,2572.00092,280.3,,2852.30092,0.0046780361757105945
68,3933 Av. Parc-La Fontaine,1952,,61.545,3149.33424,1193.1,,4342.4342400000005,
1803,3933 Avenue du Parc-La Fontaine,1952,2643.0,18.0,,,,0.0,0.00681044267877412
337,400 Avenue Ball,2005,2077.0,187.603157678,1358.6984,3576.6666666666665,,4935.365066666666,0.0903241009523351
212,4040 Av. Parc,1930,,101.77,2255.62068,1989.6,,4245.22068,
212,4040 Avenue du Parc,1930,2886.0,121.23,,,,0.0,0.042006237006237006
407,4040 Rue Sherbrooke E,1918,2484.0,31.270130156,940.53496,574.9333333333333,,1515.4682933333333,0.012588619225442835
3094,41 av Saint-Just,0,2408.0,0.64,1867.96764,,,1867.96764,0.00026578073089701
1163,4101 Rue Sherbrooke E,1939,38010.0,1585.2450000000001,,,,0.0,0.041705998421468035
1163,4101 rue Sherbrooke,1938,,3296.992710418667,25013.753559999997,64736.63333333333,,89750.38689333333,
3234,4110 boul LaSalle,0,14145.0,261.22,13810.34304,8760.5,,22570.84304,0.018467302933898908
98,4200 Rue Ontario E,1907,2125.0,0.607697464,1893.9106666666667,,,1893.9106666666667,0.0002859752771764706
4109,4242 Place de l'Hôtel-de-Ville,0,2966.0,1.2,,,,0.0,0.00040458530006743087
3084,4243 Rue de Charleroi,1916,,0.6881084373333334,2680.71488,,,2680.71488,
3905,4260 rue de Charleroi,0,4674.0,129.51,,,,0.0,0.027708600770218226
479,4355 Rue Cartier,1973,3145.0,39.93,4435.5,1547.5,,5983.0,0.012696343402225755
84,4375 Rue Ontario E,1914,3438.0,74.77999999999999,242.78467999999998,1455.55,,1698.33468,0.021751018033740542
3238,4398 Boulevard LaSalle,1967,5403.0,142.6293215,2254.3546666666666,2666.9,,4921.254666666667,0.02639817166389043
3236,4501 Rue Bannantyne,1984,,22.08,1560.4,429.2,,1989.6000000000001,
3249,4555 Rue Hochelaga,1963,6142.0,197.95184439399998,4911.192626666667,3762.7666666666664,,8673.959293333333,0.032229215954737864
3132,4555 Rue Verdun,1958,,122.6832642,3023.5346666666665,2398.366666666667,,5421.901333333333,
3132,4555 rue de Verdun,0,6203.0,126.39,,,,0.0,0.020375624697726906
2175,4581 Rue Sherbrooke E,1990,2192.0,0.26,,,,0.0,0.0001186131386861314
2402,4777 Avenue Pierre-De Coubertin,1976,34875.0,20.282373072,66241.61634666666,,,66241.61634666666,0.0005815734214193548
2464,4880 Av. Horne,1997,,327.51,4118.1,6429.4,,10547.5,
2464,4880 Avenue Van Horne,1997,6302.0,447.78,,,,0.0,0.07105363376705807
297,4985 Avenue West Hill,1970,3729.0,41.81758033,4171.555026666666,755.9666666666666,,4927.521693333332,0.011214154017162779
610,4988 Rue Vézina,1982,4172.0,62.916666666666664,3949.09804,1359.7,,5308.79804,0.015080696708213485
77,5 Avenue Laurier O,1905,2192.0,94.533060846,386.17282666666665,1766.3,,2152.4728266666666,0.043126396371350365
240,500 Boulevard Rosemont,2013,3619.0,30.62,,,,0.0,0.008460900801326334
248,5035 Rue Rouen,1965,,300.26,1627.776,5900.8,,7528.576,
248,5035 Rue de Rouen,1965,3847.0,337.86,,,,0.0,0.08782427865869509
9322,505 Boulevard de Maisonneuve E,1954,7062.0,18.44,,,,0.0,0.0026111583120928916
159,5115 Rue Rivard,1967,2269.0,75.08999999999999,366.95214,1445.1,,1812.0521399999998,0.03309387395328338
3161,5115 rue des Galets,2006,2857.0,329.25,,,,0.0,0.11524326216310815
280,523 Place Saint-Henri,1930,3209.0,88.35247925,1192.95164,1679.5,,2872.45164,0.027532714007478965
709,5290 Ch. Côte-des-Neiges,1982,,0.69,2425.7724399999997,,,2425.7724399999997,
709,5290 Chemin de la Côte-des-Neiges,1982,3477.0,1.09,,,,0.0,0.0003134886396318666
3015,530 Boulevard Bouchard (DVL),1965,3361.0,50.71,,,,0.0,0.0150877714965784
3148,5300 boul Robert,1967,4043.0,147.8,,,,0.0,0.036557012119713087
152,5311 Ch. Côte-Saint-Antoine,1931,,235.34,1127.12966,4623.6,,5750.729660000001,
152,5311 Chemin de la Côte-Saint-Antoine,1931,5174.0,249.2,,,,0.0,0.048163896405102435
755,5319 Avenue Notre-Dame-de-Grâce,1955,2819.0,91.11333333333334,307.20966,1737.45,,2044.65966,0.03232115407354854
795,5350 Rue Lafond,1965,4528.0,77.531188966,1927.385986666667,1483.6333333333334,,3411.0193200000003,0.017122612404151943
191,5375 1re Avenue,1965,3760.0,125.74,,,,0.0,0.033441489361702124
191,5375 Av. 1re,1965,,76.77190419733334,1123.1247866666665,1504.6000000000001,,2627.7247866666667,
2369,5434 Av. Parc,1992,,0.38,1328.396,,,1328.396,
2369,5434 Avenue du Parc,1992,2299.0,0.54,,,,0.0,0.00023488473249238802
154,5485 Ch. Côte-Saint-Paul,1954,,378.26,14169.0,7394.2,,21563.2,
154,5485 Chemin de la Côte-Saint-Paul,1954,20608.0,674.29,,,,0.0,0.032719817546583846
3068,55 av Dupras,0,7977.0,389.10114093199996,5833.060973333333,7772.866666666666,,13605.927639999998,0.048777879018678694
869,5550 Rue Angers,1959,2766.0,59.805169956,802.5552533333333,1134.1666666666667,,1936.72192,0.021621536498915402
609,5633 Rue Saint-Dominique,1981,3638.0,131.55999999999997,1288.10702,1748.15,,3036.25702,0.03616272677295217
1716,5655 Boulevard Pie-IX,1958,7405.0,313.56,,,,0.0,0.042344361917623224
578,5670 Rue Chauveau,1959,3872.0,58.743417699999995,1523.8493333333336,1141.3333333333333,,2665.1826666666666,0.01517133721590909
3134,5955 Rue Bannantyne,1966,,40.46,766.8,792.9,,1559.6999999999998,
1717,"600, ave de la Gare-de-Triage",0,2774.0,115.04,,,,0.0,0.041470800288392215
2522,6000 Rue Notre-Dame O,1969,5635.0,179.71441225,2776.8665466666666,3372.3000000000006,,6149.166546666667,0.03189253101153505
3457,6025 Boul. Métropolitain E,1962,,19.685000000000002,3357.9559799999997,368.1,,3726.0559799999996,
317,6040 Boulevard Monk,1960,3226.0,91.86674507,1486.5902133333332,1724.4333333333334,,3211.0235466666663,0.028476982352758834
1061,6150 Avenue Royalmount,1985,4376.0,46.394999999999996,2563.1784,1401.8,,3964.9784,0.010602148080438755
1033,6400 Av. Monkland,2015,,0.9550000000000001,3302.6578,,,3302.6578,
1033,6400 Avenue de Monkland,2015,5881.0,1.66,,,,0.0,0.0002822649209318143
4490,6445 Avenue de Monkland,2011,5146.0,209.22666666666666,4434.15102,4413.200000000001,,8847.351020000002,0.04065811633631299
1051,6700 Rue Notre-Dame E,1961,7056.0,220.356000712,2307.113786666667,4186.400000000001,,6493.513786666667,0.031229591937641722
276,6750 Rue Marseille,1970,,106.43686112800002,3864.3199466666665,2074.4333333333334,,5938.75328,
276,6750 Rue de Marseille,1970,3375.0,140.09,,,,0.0,0.04150814814814815
142,6767 Ch. Côte-des-Neiges,1976,,1.17110296,4575.927,,,4575.927,
142,6767 Chemin de la Côte-des-Neiges,1976,8066.0,2.31,,,,0.0,0.0002863873047359286
2552,6960 Avenue de Darlington,1997,2228.0,93.93,,,,0.0,0.042158886894075404
2552,6960 Rue Darlington,1997,,82.385148512,1433.1751866666666,1613.5,,3046.6751866666664,
2621,7000 Boulevard Maurice-Duplessis,2010,15587.0,162.10500000000002,5855.481,2994.3,,8849.780999999999,0.010400012831205493
293,7047 Rue Saint-Dominique,1931,2762.0,127.61000000000001,246.4,2272.3,,2518.7000000000003,0.04620202751629254
1396,707 av 75e,0,6048.0,89.845,3782.592,1451.6,,5234.192,0.014855324074074075
3032,7171 Rue Bombardier,1977,,240.197191976,2693.921093333333,4711.8,,7405.721093333334,
3032,"7171, rue Bombardier, Anjou",1977,4996.0,388.99,,,,0.0,0.07786028823058447
3069,7277 rue Cordner,0,11378.0,384.532514746,5099.83564,7692.533333333333,,12792.368973333334,0.03379614297293022
575,7355 Avenue Christophe-Colomb,1980,17039.0,528.3000000000001,5492.6492,9675.15,,15167.7992,0.031005340689007576
