id,Adresse,Annee_construction,Superficie,GES,Electricite_GJ_moyenne_4_ans,Gaz_naturel_GJ_moyenne_4_ans,Mazout_GJ_moyenne_4_ans,Conso_totale_GJ,GES_m2,latitude,longitude,ID_source,indice_structurel,indice_thermique,indice_hydrique,indice_vegetation,indice_global,geometry,ADIDU,NOTESOC,CentSoc,QuintSoc,indice_social_norm,indice_renouvelable,indice_resilience
194,7601 Rue François-Perrault,1968.0,2437.0,0.64,1976.2739333333332,0.0,0.0,0.04423362428061338,0.0022558124989689836,45.5621786,-73.60203140000002,23152.0,0.1591639344126638,0.9685185185185186,0.662962962962963,0.7148011543557061,0.829258809234081,POINT (-73.60203140000002 45.5621786),24660253,0.0346520785698807,80.0,4.0,0.5971291333339983,1.0,0.532096963727716
2369,5434 Avenue Du Parc,1992.0,2299.0,0.54,1303.776,0.0,0.0,0.029181550572196818,0.0020175919777568603,45.5216252,-73.6017564,26628.0,0.23976522151472354,1.0,0.6236842105263158,0.8943411378203185,0.9756246819472906,POINT (-73.6017564 45.5216252),24661383,0.0653354688302255,95.0,5.0,0.74463722763436,1.0,0.43021651410211537
6574,7500 Rue Saint-Denis,1974.0,5100.0,0.07,163.9512,0.0,0.0,0.0036696106034873745,0.00011789799454630836,45.5399104,-73.6205985,23777.0,0.17647211650542252,0.3829787234042553,0.35106382978723405,0.9091161660118424,0.30593272149933404,POINT (-73.6205985 45.5399104),24660440,0.0818277579603341,98.0,5.0,0.8239226690276136,1.0,0.5265680580414739
3094,41 Av Saint-Just,1993.0,2364.0,0.64,2020.89582,0.0,0.0,0.04523236627493615,0.0023254716835815737,45.5178898,-73.6084266,26651.0,0.278928275962713,0.6379310344827587,0.3275862068965517,0.6878945844061137,0.49805928179379333,POINT (-73.6084266 45.5178898),24661396,-0.00831680644117556,45.0,3.0,0.39055944568172324,1.0,0.7015415829534909
3096,"999, Ave Mceachran",1986.0,8178.01,51.75,9112.17528,975.21,0.0,0.22577923177720235,0.05435522160845978,45.5198709,-73.61937929999999,26543.0,0.2166769472060557,0.5016556291390728,0.4942052980132451,0.720369789317572,0.4349116147068448,POINT (-73.61937929999999 45.5198709),24661352,0.0657456305790814,95.0,5.0,0.7466090494381206,0.926486969807979,0.507676113806843
3032,"7171, Rue Bombardier, Anjou",1977.0,4996.0,388.99,2588.544,7764.958,0.0,0.2317355452258217,0.6687973767090789,45.6075276,-73.58644269999999,23346.0,0.17386933006929595,0.3564432989690721,0.5672680412371134,0.6677847563842596,0.30121003644960065,POINT (-73.58644269999999 45.6075276),24660301,0.0179207299853259,67.0,4.0,0.5166944315672779,0.42970885714640505,0.5283271363532842
3035,"8750, Ave Chaumont, Anjou",1976.0,5070.0,243.87,3183.8399999999997,4854.994,0.0,0.17992787174521943,0.4131701832714618,45.6110733,-73.5465421,22808.0,0.1907721690553628,0.5316455696202531,0.6012658227848101,0.7105790248386424,0.4861867568331011,POINT (-73.5465421 45.6110733),24660163,0.0499904748354518,88.0,5.0,0.6708673214403591,0.540759242937022,0.45396052022750244
3207,1925 Rue Saint-Antoine,1937.0,4180.6,84.78999999999999,3433.37,1674.643,0.0,0.11432925570261976,0.1742146099454813,45.4393754,-73.6818764,35624.0,0.19037180559558142,0.8,0.23888888888888887,0.7519604771422521,0.5225602053688483,POINT (-73.6818764 45.4393754),24663466,0.0431986024370591,85.0,5.0,0.6382159049665759,0.7507041597501289,0.5173448404818541
3434,2200 Rue Saint-Antoine,1982.0,11612.91,275.34666666666664,3081.106773333333,5430.7373333333335,0.0,0.19051494218435436,0.203665429257555,45.4884908,-73.5766101,35352.0,0.26310324078426006,0.7553191489361701,0.5159574468085106,0.8196115544976295,0.722804937300728,POINT (-73.5766101 45.4884908),24663436,0.0649673599892998,95.0,5.0,0.7428675720272273,0.514845656034661,0.38166854707329667
3018,1800 Boul Saint-Joseph,1914.0,3251.6,76.05666666666667,2091.91972,1491.9513333333332,0.0,0.08021540079513578,0.2009179446012197,45.5351882,-73.5790921,28027.0,0.22435522870532582,0.9375,0.3984375,0.8295105948083,0.7720148053762591,POINT (-73.5790921 45.5351882),24661818,0.0634361491253385,94.0,5.0,0.7355063907953459,0.6834465371015701,0.4092758231875841
