id,Adresse,categorie_finale,indice_resilience,indice_global,indice_renouvelable,indice_importance,rang_final
3073,8681 Boul Champlain,Priorité moyenne,0.5103096630425993,0.8097789960040752,0.72008602724397,0.6854432016247193,41.0
3905,4260 Rue De Charleroi,Vulnérable – priorité élevée,0.544575157019082,0.697453671686818,0.449001792141502,0.6787052970359662,42.0
2552,6960 Avenue De Darlington,Vulnérable – priorité élevée,0.5567874373464194,0.760125686674136,0.5511280054662913,0.6783373385693069,43.0
8662,2550 Rue Ontario E,Vulnérable – priorité élevée,0.5633304348995483,0.8467378173296893,0.7238994362964342,0.6744852540625843,44.0
177,3616 Rue Hochelaga,Priorité moyenne,0.5118727077255284,0.8360539929270818,0.808834918367429,0.673452289112391,45.0
248,5035 Rue De Rouen,Vulnérable – priorité élevée,0.4992502572461393,0.6094983725895822,0.3887691248729904,0.6710737589391405,46.0
3249,4555 Rue Hochelaga,Vulnérable – priorité élevée,0.5091445850931064,0.7569818881458976,0.6673741209847095,0.6700289191960109,47.0
3144,8400 Boul. Lacordaire,Vulnérable – priorité élevée,0.5337976398338625,0.7945302554796235,0.6961177052411436,0.6691285076030469,48.0
1741,1870 Rue Davidson,Vulnérable – priorité élevée,0.5308432515321616,0.6927419124313633,0.5034518294610795,0.6676032954222776,49.0
868,12125 Rue Notre-Dame E,Priorité moyenne,0.4645491063332446,0.6357205261638933,0.5255469528142491,0.666520955349966,50.0
575,7355 Avenue Christophe-Colomb,Vulnérable – priorité élevée,0.5371608776836645,0.7024127732795491,0.5145923710303946,0.6662512651719582,51.0
2463,1825 Rue Notre-Dame O,Vulnérable – priorité élevée,0.5384476401470422,0.683323921276473,0.4811758422323116,0.6640147800481718,52.0
248,5035 Rue Rouen,Vulnérable – priorité élevée,0.5095916781365959,0.6094983725895822,0.4040046882342588,0.6601215758513531,53.0
2552,6960 Rue Darlington,Vulnérable – priorité élevée,0.5666892766206713,0.760125686674136,0.5972944624376753,0.6582218295515788,54.0
2369,5434 Avenue Du Parc,Priorité moyenne,0.56631719401368,0.958242317083626,1.0,0.6564752228754609,55.0
183,3131 Boulevard Rosemont,Vulnérable – priorité élevée,0.4995202259248107,0.583451429987077,0.3851905349393192,0.6561159152643837,56.0
4201,2349 Rue De Rouen,Vulnérable – priorité élevée,0.501105410707682,0.5716155434276053,0.3673088341086045,0.6533837115559036,57.0
3101,"13 555, Boul De Pierrefonds",Priorité moyenne,0.5652096108722637,0.8266810274375145,0.7578702312948378,0.6507495733772947,58.0
84,4375 Rue Ontario E,Vulnérable – priorité élevée,0.5214518867337958,0.6406622347873279,0.4755332000433793,0.6500832943934101,59.0
1112,14150 Boul. Gouin,Priorité moyenne,0.5758282764435121,0.8994002664367773,0.8884404281440823,0.6488075327620489,60.0
2022,1501 Rue Bercy,Vulnérable – priorité élevée,0.5794454245638878,0.74261299630767,0.5732505648669617,0.6470942043654394,61.0
4201,2349 Rue Rouen,Vulnérable – priorité élevée,0.5059252409078292,0.5716155434276053,0.3812964647137072,0.6461793154827702,62.0
976,2275 Boulevard Saint-Joseph E,Vulnérable – priorité élevée,0.5428469390131603,0.7144561724033064,0.6052766047358957,0.6424769112608991,63.0
2547,1033 Rue Rachel E,Priorité moyenne,0.5663348070019666,0.8600009758417048,0.8748997033415102,0.6346986780358166,64.0
285,1210 Rue Sherbrooke E,Priorité moyenne,0.5228109400465919,0.714028658312383,0.6737726529325463,0.633549181131849,65.0
2452,350 Pl. Royale,Vulnérable – priorité élevée,0.5615261548657693,0.8089098713202474,0.7915923134674256,0.6318758912867299,66.0
3068,55 Av Dupras,Priorité moyenne,0.5175994096836284,0.6507988631002792,0.5676127233609358,0.6305376238969448,67.0
479,4355 Rue Cartier,Priorité moyenne,0.548090631774071,0.8141186167752631,0.8332775678503284,0.6305352512291061,68.0
104,2111 Rue Saint-Zotique E,Vulnérable – priorité élevée,0.523799655852822,0.6527414461901244,0.5826381695877223,0.623359608944077,69.0
3238,4398 Boulevard Lasalle,Priorité moyenne,0.552698121736156,0.6787728794026229,0.5822458788973084,0.6217308034956534,70.0
64,8650 Avenue Querbes,Vulnérable – priorité élevée,0.5820959302408435,0.7307176858460956,0.6409753014655446,0.6175731108307054,71.0
755,5319 Avenue Notre-Dame-De-Grâce,Vulnérable – priorité élevée,0.5515466859623308,0.554259878958979,0.3507589271389123,0.6170850124097949,72.0
1141,1455 Rue Bercy,Vulnérable – priorité élevée,0.6075101008598651,0.74261299630767,0.6181866174310637,0.6162775014319716,73.0
3687,7700 Boulevard Langelier,Vulnérable – priorité élevée,0.5768268798949836,0.7167432978541991,0.6324469098012024,0.614864739004521,74.0
3110,1375 Rue Grenet,Vulnérable – priorité élevée,0.5762221415067642,0.6723297207883596,0.5548314109717956,0.6118148906034565,75.0
1051,6700 Rue Notre-Dame E,Vulnérable – priorité élevée,0.5377194787694424,0.6088197305685377,0.507661644577869,0.610947431695651,76.0
3101,13555 Boul. Pierrefonds,Priorité moyenne,0.5827684463928395,0.771818902823038,0.746324496740679,0.6101051119908311,77.0
2464,4880 Av. Horne,Vulnérable – priorité élevée,0.5769519632521645,0.6517223414248846,0.536482965641093,0.6043974584385831,78.0
3069,7277 Rue Cordner,Vulnérable – priorité élevée,0.5648183741001687,0.644324738346784,0.5553915288249065,0.6015200680772353,79.0
152,5311 Chemin De La Côte-Saint-Antoine,Vulnérable – priorité élevée,0.5310524779065505,0.524525724638108,0.3842143260029395,0.6012489857873607,80.0
869,5550 Rue Angers,Vulnérable – priorité élevée,0.5519327170063972,0.6267669932457649,0.5515730162974499,0.5998351915368656,81.0
978,10300 Rue Lajeunesse,Priorité moyenne,0.563035198808034,0.6929918088427023,0.663068610080485,0.5994537611076857,82.0
3114,820 Rue Saint-Germain,Priorité moyenne,0.5498163845277348,0.6386977106359866,0.5809635769799488,0.5994398767232862,83.0
152,5311 Ch. Côte-Saint-Antoine,Vulnérable – priorité élevée,0.5340750959855766,0.524525724638108,0.3886328628062679,0.5980583887436325,84.0
8324,10125 Rue Parthenais,Vulnérable – priorité élevée,0.5572284751580265,0.5137476948411799,0.3233009511690252,0.5972866688111219,85.0
3070,1300 Avenue Dollard (Lsl),Priorité moyenne,0.56619219983205,0.7264863715550147,0.7372657563605236,0.5953306473455473,86.0
2453,3680 Rue Jeanne-Mance,Priorité moyenne,0.5321283061507444,0.7452898435160876,0.8469930760138513,0.5941132336370692,87.0
407,4040 Rue Sherbrooke E,Priorité moyenne,0.5450444067294755,0.6867205055286837,0.7055330113301328,0.5936525591031543,88.0
4490,6445 Avenue De Monkland,Vulnérable – priorité élevée,0.6027192755856732,0.7113950182726763,0.6426846439869482,0.5926913511052387,89.0
3191,11121 Av Salk,Vulnérable – priorité élevée,0.5576988407453065,0.5285427870277151,0.3735761437183412,0.5906925826917289,90.0
795,5350 Rue Lafond,Vulnérable – priorité élevée,0.5891887347901226,0.7083941114318013,0.6710523251171969,0.5904628813455258,91.0
280,523 Place Saint-Henri,Vulnérable – priorité élevée,0.5530256471500086,0.6057751490475053,0.5555235057148626,0.5851625058931416,92.0
353,2450 Rue Workman,Priorité moyenne,0.5383932235044225,0.7090008506304544,0.7922705059676456,0.5848482113013952,93.0
3100,"13 665, Boul De Pierrefonds",Priorité moyenne,0.5665250063157126,0.8266810274375145,1.0,0.5761175720200447,94.0
3035,"8750, Ave Chaumont, Anjou",Vulnérable – priorité élevée,0.5642922083087241,0.5867983933593417,0.540759242937022,0.5712209131220644,95.0
560,3430 Rue De Bellechasse,Vulnérable – priorité élevée,0.600313943782709,0.7879364169899299,0.8925128862715295,0.5646587435232526,96.0
3070,1300 Av. Dollard,Priorité moyenne,0.5848017670040496,0.7264863715550147,0.8031631896766498,0.5638885071968568,97.0
110,1600 Rue De Drucourt,Vulnérable – priorité élevée,0.567015287876113,0.5854773839641321,0.5567502765756469,0.5638787181495254,98.0
601,1696 Rue Montcalm,Vulnérable – priorité élevée,0.5852075839002273,0.7176095514894469,0.7872968942863403,0.563065538946223,99.0
